id,timestamp,prob,type
IV.MMO1.,2016-10-30 00:01:33.950,0.97826487,p
IV.MMO1.,2016-10-30 00:01:38.100,0.85478705,s
IV.MMO1.,2016-10-30 00:04:44.260,0.984929,p
IV.MMO1.,2016-10-30 00:04:46.590,0.9406761,s
IV.MMO1.,2016-10-30 00:06:10.650,0.7653913,p
IV.MMO1.,2016-10-30 00:06:13.340,0.7458724,s
IV.MMO1.,2016-10-30 00:07:28.490,0.9361453,p
IV.MMO1.,2016-10-30 00:07:31.660,0.8931088,s
IV.MMO1.,2016-10-30 00:09:28.870,0.9480125,p
IV.MMO1.,2016-10-30 00:09:32.040,0.7621763,s
IV.MMO1.,2016-10-30 00:10:19.070,0.5864088,p
IV.MMO1.,2016-10-30 00:10:21.340,0.61030763,s
IV.MMO1.,2016-10-30 00:10:41.910,0.7873502,p
IV.MMO1.,2016-10-30 00:10:45.210,0.88033175,s
IV.MMO1.,2016-10-30 00:11:51.330,0.97665954,p
IV.MMO1.,2016-10-30 00:11:53.800,0.9431422,s
IV.MMO1.,2016-10-30 00:12:24.590,0.974179,p
IV.MMO1.,2016-10-30 00:12:28.060,0.92320675,s
IV.MMO1.,2016-10-30 00:14:28.550,0.9512933,p
IV.MMO1.,2016-10-30 00:14:32.180,0.8830413,s
IV.MMO1.,2016-10-30 00:16:29.660,0.6751036,p
IV.MMO1.,2016-10-30 00:16:33.180,0.8217697,s
IV.MMO1.,2016-10-30 00:18:32.440,0.8590029,p
IV.MMO1.,2016-10-30 00:18:35.570,0.8857397,s
IV.MMO1.,2016-10-30 00:19:18.200,0.8533568,p
IV.MMO1.,2016-10-30 00:19:21.840,0.67333615,s
IV.MMO1.,2016-10-30 00:20:40.910,0.6672114,p
IV.MMO1.,2016-10-30 00:20:45.270,0.83523804,s
IV.MMO1.,2016-10-30 00:21:31.390,0.9401854,p
IV.MMO1.,2016-10-30 00:21:35.480,0.78994083,s
IV.MMO1.,2016-10-30 00:22:17.840,0.9347862,p
IV.MMO1.,2016-10-30 00:22:21.840,0.8595561,s
IV.MMO1.,2016-10-30 00:23:48.300,0.86329305,p
IV.MMO1.,2016-10-30 00:23:51.820,0.7757877,s
IV.MMO1.,2016-10-30 00:23:59.960,0.89744246,p
IV.MMO1.,2016-10-30 00:24:03.060,0.8118666,s
IV.MMO1.,2016-10-30 00:24:56.280,0.96189976,p
IV.MMO1.,2016-10-30 00:24:59.940,0.6299758,s
IV.MMO1.,2016-10-30 00:25:13.720,0.8939068,p
IV.MMO1.,2016-10-30 00:25:16.490,0.8929714,s
IV.MMO1.,2016-10-30 00:25:49.400,0.95387936,p
IV.MMO1.,2016-10-30 00:25:51.710,0.94247806,s
IV.MMO1.,2016-10-30 00:26:31.090,0.85258937,p
IV.MMO1.,2016-10-30 00:26:35.180,0.62196374,s
IV.MMO1.,2016-10-30 00:27:48.610,0.92840177,p
IV.MMO1.,2016-10-30 00:27:52.070,0.9051169,s
IV.MMO1.,2016-10-30 00:28:49.190,0.95463705,p
IV.MMO1.,2016-10-30 00:28:52.670,0.8884439,s
IV.MMO1.,2016-10-30 00:30:40.750,0.9797292,p
IV.MMO1.,2016-10-30 00:30:42.000,0.8936806,s
IV.MMO1.,2016-10-30 00:32:09.990,0.89665955,p
IV.MMO1.,2016-10-30 00:32:13.320,0.7552916,s
IV.MMO1.,2016-10-30 00:32:53.280,0.6882154,p
IV.MMO1.,2016-10-30 00:32:56.460,0.5519473,s
IV.MMO1.,2016-10-30 00:33:29.000,0.5447483,s
IV.MMO1.,2016-10-30 00:34:41.930,0.51076245,p
IV.MMO1.,2016-10-30 00:34:44.730,0.75771236,s
IV.MMO1.,2016-10-30 00:36:42.420,0.52153635,s
IV.MMO1.,2016-10-30 00:37:17.960,0.9514865,p
IV.MMO1.,2016-10-30 00:38:15.900,0.8083303,p
IV.MMO1.,2016-10-30 00:38:17.650,0.9159473,s
IV.MMO1.,2016-10-30 00:40:23.430,0.97391146,p
IV.MMO1.,2016-10-30 00:40:27.570,0.90247905,s
IV.MMO1.,2016-10-30 00:40:57.500,0.9496275,p
IV.MMO1.,2016-10-30 00:41:01.580,0.87199837,s
IV.MMO1.,2016-10-30 00:42:30.910,0.9208528,p
IV.MMO1.,2016-10-30 00:42:34.300,0.6779692,s
IV.MMO1.,2016-10-30 00:43:47.720,0.95654106,p
IV.MMO1.,2016-10-30 00:43:49.910,0.9034139,s
IV.MMO1.,2016-10-30 00:44:35.120,0.9605194,p
IV.MMO1.,2016-10-30 00:44:37.570,0.8695017,s
IV.MMO1.,2016-10-30 00:45:50.780,0.9630419,p
IV.MMO1.,2016-10-30 00:45:53.660,0.8823708,s
IV.MMO1.,2016-10-30 00:47:58.300,0.92068005,p
IV.MMO1.,2016-10-30 00:48:00.590,0.9203824,s
IV.MMO1.,2016-10-30 00:49:15.900,0.9043363,p
IV.MMO1.,2016-10-30 00:49:18.840,0.8910441,s
