time,magnitude,sigma_time,sigma_amp,cov_time_amp,gamma_score,num_picks,num_p_picks,num_s_picks,event_index,z(km),longitude,latitude
2016-10-30T00:24:51.655,999,0.08988869860636949,0,0,5.0,5,3,2,1,1.8529244284015436,13.044608937471086,43.00356708219044
2016-10-30T00:01:28.091,999,0.15820913158698025,0,0,8.873418371833525,9,5,4,3,6.519568468624186,13.037520139606315,43.07264767126032
2016-10-30T00:40:52.214,999,0.07023317830458663,0,0,5.0,5,3,2,2,2.2357335061859267,13.017199393622464,43.03185066202749
2016-10-30T00:07:23.825,999,0.07266625733884871,0,0,6.0,6,3,3,0,18.940543649480134,13.128166377531894,42.83486970263432
2016-10-30T00:21:25.993,999,0.04765025894781422,0,0,5.0,5,3,2,4,2.8649567563896863,13.010687982877144,43.02950723461401
2016-10-30T00:32:05.242,999,0.05569366504594044,0,0,6.0,6,3,3,5,18.813058532995385,13.118314488900726,42.82464192642631
2016-10-30T00:43:44.714,999,0.0012199355896357262,0,0,5.0,5,3,2,6,13.575367442369865,13.229140972253601,42.877384406787414
2016-10-30T00:37:14.108,999,0.08360161086969928,0,0,4.0,4,3,1,7,0.0,13.069655391602652,42.89737870615443
2016-10-30T00:30:38.659,999,0.0693286872338646,0,0,6.0,6,3,3,8,9.1539846960914,13.285337834043183,42.899526674688595
2016-10-30T00:11:47.674,999,0.12609136398269022,0,0,6.0,6,3,3,9,15.377990136792612,13.181053156713395,42.90252835705336
2016-10-30T00:12:19.611,999,0.09277877192110906,0,0,6.0,6,3,3,10,18.139257225832075,13.06663996075357,42.89606499864123
2016-10-30T00:18:27.953,999,0.0785591079198002,0,0,5.8741164834021085,6,3,3,16,17.873915481206144,13.121907337437916,42.85660851096329
2016-10-30T00:42:26.255,999,0.0025478550051686636,0,0,5.0,5,3,2,11,20.793344561377435,13.139153279083102,42.834614256930486
2016-10-30T00:04:40.550,999,0.09513651698643665,0,0,6.0,6,3,3,12,13.76086427290383,13.179965856063099,42.94903981096651
2016-10-30T00:14:23.934,999,0.09028887011242293,0,0,6.0,6,3,3,13,16.784722885220646,13.082144373103166,42.85226516380592
2016-10-30T00:10:37.122,999,0.06900774511453088,0,0,6.0,6,3,3,14,17.439329749770252,13.099064534433928,42.83229257457597
2016-10-30T00:40:18.100,999,0.07887390031072762,0,0,5.0,5,3,2,15,1.4338163990649675,13.00821583294994,43.02822483415855
